x,y1,y2,y3,y4
-20.0,4.0245485,99.880005,-44.540493,13.025688
-19.9,4.025216,99.414764,-44.92939,13.108802
-19.8,4.1371403,99.49478,-44.99754,12.783534
-19.7,3.9971201,98.21749,-43.927387,13.021022
-19.6,4.49266,98.24673,-44.685528,13.08463
-19.5,4.8343034,97.2837,-44.461723,12.706977
-19.4,4.4545107,96.79976,-43.489983,12.56387
-19.3,4.4373407,96.41918,-43.67773,13.384914
-19.2,4.0972676,95.505486,-43.172398,12.733597
-19.1,4.145722,95.868164,-43.619656,12.700089
-19.0,3.9710052,94.721054,-43.42194,12.8247595
-18.9,4.1105733,94.54467,-43.019394,12.782012
-18.8,4.4925466,94.209465,-42.871525,13.116507
-18.7,3.9107533,93.3629,-42.775745,13.304143
-18.6,4.0587344,93.49022,-42.63394,13.39816
-18.5,4.234764,92.424774,-41.925854,13.374948
-18.4,3.967623,91.6151,-41.41195,13.14787
-18.3,4.1552625,91.32254,-41.133,12.5918255
-18.2,4.296505,90.9151,-41.553505,12.873803
-18.1,4.403377,90.13425,-41.449978,13.2448635
-18.0,3.7705827,89.56828,-40.795162,13.307878
-17.9,4.4179206,89.10645,-40.829426,12.557161
-17.8,4.5264125,88.88181,-40.984673,12.391886
-17.7,4.1109004,88.717575,-40.09626,12.862992
-17.6,4.693284,87.86962,-40.082916,13.109045
-17.5,3.8742225,87.44963,-40.05926,12.460138
-17.4,4.4373913,86.85175,-40.009212,12.888953
-17.3,4.3532476,86.32862,-39.588055,12.952632
-17.2,3.7005064,86.35816,-39.601852,12.9742985
-17.1,4.028963,85.63734,-39.39001,12.419529
-17.0,4.579933,85.32462,-38.682846,13.031767
-16.9,4.6040516,84.39218,-39.143883,12.588729
-16.8,4.169834,83.78111,-38.30191,12.729111
-16.7,4.131985,83.11439,-38.343323,12.5914135
-16.6,3.7729132,83.05633,-38.396854,13.007788
-16.5,3.6434667,82.008194,-38.07237,12.896815
-16.4,4.0284476,81.50925,-37.986553,13.228301
-16.3,3.7480528,81.46095,-37.968956,12.331058
-16.2,3.8156674,81.33607,-37.72547,12.299146
-16.1,3.849018,80.159225,-37.147312,12.5235405
-16.0,4.2745295,80.0469,-36.772236,13.0258045
-15.9,3.7779808,79.7869,-37.28217,12.95638
-15.8,4.2368326,79.303154,-37.024605,12.91332
-15.7,3.804184,78.60248,-36.7073,13.092022
-15.6,3.47476,78.04324,-36.44299,12.464745
-15.5,3.6339803,77.56249,-36.01703,12.847784
-15.4,4.2623997,76.97714,-35.42298,13.087522
-15.3,4.3484526,76.80021,-35.795685,12.872809
-15.2,4.3964887,75.78919,-35.187595,12.367894
-15.1,3.9946597,75.75781,-34.995747,12.737135
-15.0,3.382856,74.84901,-35.062866,12.597692
-14.9,3.6947303,74.42958,-35.295685,12.862405
-14.8,3.4480717,73.71589,-35.019806,13.059904
-14.7,3.8213418,73.957504,-33.92042,12.297752
-14.6,3.7728097,73.276115,-34.52212,12.200725
-14.5,3.8348517,72.4594,-33.95401,12.979272
-14.4,4.2046833,72.43942,-33.56415,12.532157
-14.3,3.5065358,71.0902,-33.959335,12.305135
-14.2,3.508201,71.14694,-33.850708,12.327571
-14.1,4.183577,70.54308,-32.839035,12.647051
-14.0,3.6795008,69.72883,-32.571175,13.075999
-13.9,3.3369522,69.05819,-32.41634,12.766098
-13.8,3.5148902,69.26466,-32.909042,12.699555
-13.7,3.732997,68.50902,-32.86073,12.430915
-13.6,3.3412828,68.38369,-32.69478,12.728163
-13.5,4.096207,67.75311,-32.053326,12.430888
-13.4,4.1336126,66.97318,-31.957653,12.171903
-13.3,3.9269223,66.73323,-31.398186,12.181589
-13.2,4.098156,65.73271,-31.803776,12.325998
-13.1,3.5626326,65.65098,-31.563095,12.996315
-13.0,4.011299,65.16126,-30.861322,12.8062525
-12.9,3.6643057,64.11441,-30.598328,12.829133
-12.8,3.37093,63.799416,-30.668081,13.022423
-12.7,3.3727272,63.578465,-30.558674,12.895341
-12.6,3.637669,62.775394,-30.362267,12.230675
-12.5,3.611618,62.4746,-30.118155,12.400927
-12.4,3.1232517,61.635094,-29.985548,12.785507
-12.3,3.476593,61.34421,-30.02316,12.29249
-12.2,3.4455514,60.94266,-29.418274,12.518619
-12.1,3.272429,60.318954,-29.367495,12.069714
-12.0,3.9051442,59.998745,-29.121521,12.224053
-11.9,3.474602,59.67896,-28.528078,11.992391
-11.8,3.7632484,58.986217,-28.580887,12.1849
-11.7,3.6756742,58.182663,-28.586916,12.809058
-11.6,3.82131,57.55155,-28.19674,12.326158
-11.5,3.0290074,57.423897,-27.982027,12.518465
-11.4,3.8471744,56.967697,-27.70757,12.252078
-11.3,2.9259353,56.741524,-28.06184,12.1316395
-11.2,2.8618064,56.247185,-27.564165,12.332377
-11.1,3.4961567,55.213776,-27.457848,12.11638
-11.0,3.4885905,54.826145,-27.440699,12.668023
-10.9,3.6832254,54.27613,-26.50727,11.896563
-10.8,3.1931071,54.266483,-26.891857,12.863216
-10.7,3.4199886,53.325283,-25.950306,12.2853565
-10.6,3.727603,53.33789,-26.155834,12.107312
-10.5,3.0978625,52.274956,-25.996933,12.806389
-10.4,3.246416,51.54569,-25.648289,12.706468
-10.3,3.4628518,51.607822,-26.044674,12.7340555
-10.2,2.7344272,51.321228,-25.522734,11.912804
-10.1,3.6154017,50.320766,-25.535217,12.52814
-10.0,2.8658826,50.304325,-24.872936,12.442537
-9.9,2.806944,49.601883,-25.13471,12.059629
-9.8,2.9862247,48.923943,-24.752985,12.333101
-9.7,3.1644843,48.4233,-24.599243,12.315536
-9.6,3.576825,48.273464,-24.331867,11.845431
-9.5,3.0008621,47.846306,-23.513266,12.236375
-9.4,3.1499853,47.329353,-23.427004,12.440919
-9.3,3.2532597,46.592495,-23.94233,12.056684
-9.2,3.5283675,46.02652,-23.671541,11.782978
-9.1,2.5380325,45.179485,-22.957233,12.437475
-9.0,3.4850347,44.812187,-22.870058,11.866133
-8.9,2.5583687,44.333282,-23.266655,12.350477
-8.8,2.9184089,44.41808,-23.047482,12.420884
-8.7,3.394819,43.993504,-22.081749,12.583542
-8.6,3.2064047,42.978207,-22.08822,12.56801
-8.5,2.9186707,42.90136,-22.092785,12.578657
-8.4,2.402222,41.89736,-21.822384,11.674698
-8.3,3.085459,41.591125,-21.120571,12.0398035
-8.2,2.3679104,41.44578,-21.299356,12.504346
-8.1,2.6573215,40.953114,-20.77034,11.623052
-8.0,2.6917465,40.015865,-20.608013,12.436753
-7.9,2.7426639,39.45077,-21.083666,12.212108
-7.8,2.9692957,38.869137,-20.858606,12.417175
-7.7,2.3019505,38.881126,-20.034084,11.780495
-7.6,3.1043363,37.976627,-19.862322,11.6953
-7.5,2.7046237,37.1131,-20.214043,12.151892
-7.4,2.928247,37.065147,-19.462385,11.632307
-7.3,3.0316825,36.324238,-19.288134,12.00035
-7.2,2.3948238,35.811283,-19.675304,12.058116
-7.1,2.2877483,35.194714,-18.899115,11.640311
-7.0,2.7985265,34.649445,-18.852077,11.900256
-6.9,2.9047818,34.31206,-18.847116,12.332554
-6.8,2.4374413,34.31242,-18.65361,12.163626
-6.7,2.3926477,33.86246,-18.668243,11.6264925
-6.6,2.6637578,33.33329,-18.566996,11.910667
-6.5,2.203237,32.760216,-17.78371,11.536737
-6.4,2.6063735,32.067394,-17.857306,12.337624
